## Totals
candidate  {"farmN":576,"farmDeaths":89,"farmKills":8845,"bossN":312,"bossWins":171,"bossDeaths":129,"bigHits":6}
original   {"farmN":576,"farmDeaths":87,"farmKills":9239,"bossN":312,"bossWins":159,"bossDeaths":143,"bigHits":14}
pipeline   {"farmN":576,"farmDeaths":94,"farmKills":9203,"bossN":312,"bossWins":140,"bossDeaths":162,"bigHits":14}

## original -> pipeline
t1                                 {"farmN":108,"deathsA":11,"deathsB":15,"saved":2,"lost":6,"killsA":2179,"killsB":2154,"bossN":60,"winsA":16,"winsB":13}
t2                                 {"farmN":156,"deathsA":15,"deathsB":16,"saved":2,"lost":3,"killsA":2878,"killsB":2866,"bossN":84,"winsA":34,"winsB":26}
t3                                 {"farmN":156,"deathsA":37,"deathsB":40,"saved":3,"lost":6,"killsA":1746,"killsB":1724,"bossN":84,"winsA":36,"winsB":28}
t4                                 {"farmN":156,"deathsA":24,"deathsB":23,"saved":5,"lost":4,"killsA":2436,"killsB":2459,"bossN":84,"winsA":73,"winsB":73}

## original -> pipeline
apprentice                         {"farmN":96,"deathsA":18,"deathsB":20,"saved":4,"lost":6,"killsA":1609,"killsB":1572,"bossN":52,"winsA":22,"winsB":22}
conduit                            {"farmN":96,"deathsA":16,"deathsB":18,"saved":1,"lost":3,"killsA":1082,"killsB":1097,"bossN":52,"winsA":15,"winsB":14}
slinger                            {"farmN":96,"deathsA":9,"deathsB":10,"saved":1,"lost":2,"killsA":1647,"killsB":1652,"bossN":52,"winsA":39,"winsB":33}
spirit                             {"farmN":96,"deathsA":8,"deathsB":10,"saved":2,"lost":4,"killsA":1841,"killsB":1833,"bossN":52,"winsA":34,"winsB":32}
squire                             {"farmN":96,"deathsA":16,"deathsB":15,"saved":2,"lost":1,"killsA":1395,"killsB":1392,"bossN":52,"winsA":28,"winsB":20}
striker                            {"farmN":96,"deathsA":20,"deathsB":21,"saved":2,"lost":3,"killsA":1665,"killsB":1657,"bossN":52,"winsA":21,"winsB":19}

## original -> pipeline
t1 apprentice                      {"farmN":18,"deathsA":5,"deathsB":7,"saved":0,"lost":2,"killsA":285,"killsB":271,"bossN":10,"winsA":2,"winsB":2}
t1 conduit                         {"farmN":18,"deathsA":3,"deathsB":3,"saved":1,"lost":1,"killsA":350,"killsB":363,"bossN":10,"winsA":3,"winsB":2}
t1 slinger                         {"farmN":18,"deathsA":2,"deathsB":1,"saved":1,"lost":0,"killsA":325,"killsB":328,"bossN":10,"winsA":5,"winsB":5}
t1 spirit                          {"farmN":18,"deathsA":1,"deathsB":2,"saved":0,"lost":1,"killsA":410,"killsB":404,"bossN":10,"winsA":2,"winsB":2}
t1 squire                          {"farmN":18,"deathsA":0,"deathsB":1,"saved":0,"lost":1,"killsA":422,"killsB":411,"bossN":10,"winsA":4,"winsB":2}
t1 striker                         {"farmN":18,"deathsA":0,"deathsB":1,"saved":0,"lost":1,"killsA":387,"killsB":377,"bossN":10,"winsA":0,"winsB":0}
t2 apprentice                      {"farmN":26,"deathsA":3,"deathsB":4,"saved":1,"lost":2,"killsA":506,"killsB":498,"bossN":14,"winsA":2,"winsB":2}
t2 conduit                         {"farmN":26,"deathsA":1,"deathsB":1,"saved":0,"lost":0,"killsA":336,"killsB":337,"bossN":14,"winsA":2,"winsB":2}
t2 slinger                         {"farmN":26,"deathsA":1,"deathsB":1,"saved":0,"lost":0,"killsA":555,"killsB":556,"bossN":14,"winsA":12,"winsB":10}
t2 spirit                          {"farmN":26,"deathsA":0,"deathsB":1,"saved":0,"lost":1,"killsA":590,"killsB":584,"bossN":14,"winsA":12,"winsB":10}
t2 squire                          {"farmN":26,"deathsA":4,"deathsB":4,"saved":0,"lost":0,"killsA":422,"killsB":419,"bossN":14,"winsA":2,"winsB":0}
t2 striker                         {"farmN":26,"deathsA":6,"deathsB":5,"saved":1,"lost":0,"killsA":469,"killsB":472,"bossN":14,"winsA":4,"winsB":2}
t3 apprentice                      {"farmN":26,"deathsA":7,"deathsB":8,"saved":1,"lost":2,"killsA":282,"killsB":266,"bossN":14,"winsA":4,"winsB":4}
t3 conduit                         {"farmN":26,"deathsA":10,"deathsB":11,"saved":0,"lost":1,"killsA":141,"killsB":139,"bossN":14,"winsA":2,"winsB":2}
t3 slinger                         {"farmN":26,"deathsA":4,"deathsB":6,"saved":0,"lost":2,"killsA":309,"killsB":300,"bossN":14,"winsA":10,"winsB":6}
t3 spirit                          {"farmN":26,"deathsA":3,"deathsB":1,"saved":2,"lost":0,"killsA":399,"killsB":421,"bossN":14,"winsA":6,"winsB":6}
t3 squire                          {"farmN":26,"deathsA":5,"deathsB":5,"saved":0,"lost":0,"killsA":270,"killsB":264,"bossN":14,"winsA":10,"winsB":6}
t3 striker                         {"farmN":26,"deathsA":8,"deathsB":9,"saved":0,"lost":1,"killsA":345,"killsB":334,"bossN":14,"winsA":4,"winsB":4}
t4 apprentice                      {"farmN":26,"deathsA":3,"deathsB":1,"saved":2,"lost":0,"killsA":536,"killsB":537,"bossN":14,"winsA":14,"winsB":14}
t4 conduit                         {"farmN":26,"deathsA":2,"deathsB":3,"saved":0,"lost":1,"killsA":255,"killsB":258,"bossN":14,"winsA":8,"winsB":8}
t4 slinger                         {"farmN":26,"deathsA":2,"deathsB":2,"saved":0,"lost":0,"killsA":458,"killsB":468,"bossN":14,"winsA":12,"winsB":12}
t4 spirit                          {"farmN":26,"deathsA":4,"deathsB":6,"saved":0,"lost":2,"killsA":442,"killsB":424,"bossN":14,"winsA":14,"winsB":14}
t4 squire                          {"farmN":26,"deathsA":7,"deathsB":5,"saved":2,"lost":0,"killsA":281,"killsB":298,"bossN":14,"winsA":12,"winsB":12}
t4 striker                         {"farmN":26,"deathsA":6,"deathsB":6,"saved":1,"lost":1,"killsA":464,"killsB":474,"bossN":14,"winsA":13,"winsB":13}

## original -> pipeline
boss t1 forest-vest-t1             {"farmN":0,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":0,"killsB":0,"bossN":30,"winsA":9,"winsB":9}
boss t1 mountain-vest-t1           {"farmN":0,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":0,"killsB":0,"bossN":30,"winsA":7,"winsB":4}
boss t2 jungle-vest-t2             {"farmN":0,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":0,"killsB":0,"bossN":42,"winsA":26,"winsB":22}
boss t2 mountain-vest-t2           {"farmN":0,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":0,"killsB":0,"bossN":42,"winsA":8,"winsB":4}
boss t3 jungle-vest-t3             {"farmN":0,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":0,"killsB":0,"bossN":42,"winsA":20,"winsB":16}
boss t3 mountain-vest-t3           {"farmN":0,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":0,"killsB":0,"bossN":42,"winsA":16,"winsB":12}
boss t4 jungle-vest-t4             {"farmN":0,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":0,"killsB":0,"bossN":42,"winsA":40,"winsB":40}
boss t4 mountain-vest-t4           {"farmN":0,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":0,"killsB":0,"bossN":42,"winsA":33,"winsB":33}
home t1 cave-vest-t1               {"farmN":12,"deathsA":0,"deathsB":1,"saved":0,"lost":1,"killsA":135,"killsB":133,"bossN":0,"winsA":0,"winsB":0}
home t1 forest-vest-t1             {"farmN":12,"deathsA":5,"deathsB":6,"saved":0,"lost":1,"killsA":212,"killsB":211,"bossN":0,"winsA":0,"winsB":0}
home t1 mountain-vest-t1           {"farmN":12,"deathsA":1,"deathsB":5,"saved":0,"lost":4,"killsA":162,"killsB":115,"bossN":0,"winsA":0,"winsB":0}
home t1 plains-vest-t1             {"farmN":12,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":465,"killsB":462,"bossN":0,"winsA":0,"winsB":0}
home t1 swamp-vest-t1              {"farmN":12,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":220,"killsB":220,"bossN":0,"winsA":0,"winsB":0}
home t2 cave-vest-t2               {"farmN":12,"deathsA":1,"deathsB":2,"saved":1,"lost":2,"killsA":123,"killsB":121,"bossN":0,"winsA":0,"winsB":0}
home t2 desert-vest-t2             {"farmN":12,"deathsA":5,"deathsB":5,"saved":0,"lost":0,"killsA":71,"killsB":68,"bossN":0,"winsA":0,"winsB":0}
home t2 forest-vest-t2             {"farmN":12,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":235,"killsB":239,"bossN":0,"winsA":0,"winsB":0}
home t2 jungle-vest-t2             {"farmN":12,"deathsA":0,"deathsB":1,"saved":0,"lost":1,"killsA":138,"killsB":134,"bossN":0,"winsA":0,"winsB":0}
home t2 mountain-vest-t2           {"farmN":12,"deathsA":1,"deathsB":1,"saved":0,"lost":0,"killsA":134,"killsB":132,"bossN":0,"winsA":0,"winsB":0}
home t2 plains-vest-t2             {"farmN":12,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":584,"killsB":584,"bossN":0,"winsA":0,"winsB":0}
home t2 swamp-vest-t2              {"farmN":12,"deathsA":0,"deathsB":0,"saved":0,"lost":0,"killsA":216,"killsB":214,"bossN":0,"winsA":0,"winsB":0}
